"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 08:56:21 UTC 2024","Mon Aug 26 08:56:22 UTC 2024","429","","br.com.lmelgarejo.UserJsonTest","","br.com.lmelgarejo.UserJsonTest","deveVerificarListaRaiz","deveVerificarListaRaiz()","Deve verificar lista na raiz do json"
"passed","Mon Aug 26 08:56:11 UTC 2024","Mon Aug 26 08:56:11 UTC 2024","381","","br.com.lmelgarejo.EnvioDadosTest","","br.com.lmelgarejo.EnvioDadosTest","deveEnviarValorViaQuery","deveEnviarValorViaQuery()",""
"passed","Mon Aug 26 08:56:12 UTC 2024","Mon Aug 26 08:56:12 UTC 2024","411","","br.com.lmelgarejo.VerbosTest","","br.com.lmelgarejo.VerbosTest","devoRemoverUsuario","devoRemoverUsuario()",""
"passed","Mon Aug 26 08:56:18 UTC 2024","Mon Aug 26 08:56:19 UTC 2024","297","","br.com.lmelgarejo.FileTest","","br.com.lmelgarejo.FileTest","deveBaixarArquivo","deveBaixarArquivo()",""
"passed","Mon Aug 26 08:56:15 UTC 2024","Mon Aug 26 08:56:15 UTC 2024","361","","br.com.lmelgarejo.VerbosTest","","br.com.lmelgarejo.VerbosTest","naoDevoRemoverUsuarioInexistente","naoDevoRemoverUsuarioInexistente()",""
"passed","Mon Aug 26 08:56:08 UTC 2024","Mon Aug 26 08:56:11 UTC 2024","2431","","br.com.lmelgarejo.EnvioDadosTest","","br.com.lmelgarejo.EnvioDadosTest","deveEnviarValorViaParam","deveEnviarValorViaParam()",""
"passed","Mon Aug 26 08:56:19 UTC 2024","Mon Aug 26 08:56:19 UTC 2024","304","","br.com.lmelgarejo.FileTest","","br.com.lmelgarejo.FileTest","naoDeveFazerUploadArquivoGrande","naoDeveFazerUploadArquivoGrande()",""
"passed","Mon Aug 26 08:56:21 UTC 2024","Mon Aug 26 08:56:21 UTC 2024","437","","br.com.lmelgarejo.UserJsonTest","","br.com.lmelgarejo.UserJsonTest","deveVerificarSegundoNivel","deveVerificarSegundoNivel()","Deve verificar segundo nivel do json"
"passed","Mon Aug 26 08:56:25 UTC 2024","Mon Aug 26 08:56:26 UTC 2024","1058","","br.com.lmelgarejo.AuthTest","","br.com.lmelgarejo.AuthTest","deveAcessarSWAPI","deveAcessarSWAPI()",""
"passed","Mon Aug 26 08:56:15 UTC 2024","Mon Aug 26 08:56:16 UTC 2024","436","","br.com.lmelgarejo.VerbosTest","","br.com.lmelgarejo.VerbosTest","devoCustomizarURLParte2","devoCustomizarURLParte2()",""
"passed","Mon Aug 26 08:56:11 UTC 2024","Mon Aug 26 08:56:12 UTC 2024","447","","br.com.lmelgarejo.EnvioDadosTest","","br.com.lmelgarejo.EnvioDadosTest","deveEnviarValorViaHeader","deveEnviarValorViaHeader()",""
